Variables=x,w
0.00142857	-4.46429e-06
0.00428571	0.0187366
0.00857143	0.0412232
0.0157143	0.0587009
0.02	0.0711875
0.0228571	0.0824286
0.0271429	0.0949152
0.0314286	0.107402
0.0342857	0.118643
0.04	0.131125
0.0442857	0.142362
0.0485714	0.153598
0.0542857	0.16608
0.0614286	0.176058
0.0657143	0.188545
0.07	0.197281
0.0771429	0.207259
0.0814286	0.212246
0.0885714	0.223473
0.0942857	0.230955
0.107143	0.242165
0.115714	0.250888
0.125714	0.259607
0.137143	0.268321
0.148571	0.275786
0.165714	0.285732
0.178571	0.290692
0.191429	0.295652
0.205714	0.298107
0.244286	0.299237
0.255714	0.297951
0.268571	0.292911
0.281429	0.287871
0.294286	0.28033
0.305714	0.272795
0.315714	0.265263
0.325714	0.256482
0.335714	0.247701
0.345714	0.23767
0.355714	0.228888
0.364286	0.218862
0.372857	0.208835
0.381429	0.198808
0.39	0.188781
0.398571	0.178754
0.407143	0.168728
0.414286	0.158705
0.422857	0.147429
0.431429	0.137402
0.44	0.127375
0.447143	0.117353
0.455714	0.107326
0.464286	0.0972991
0.472857	0.0860223
0.48	0.076
0.488571	0.0659732
0.497143	0.0546964
0.508571	0.0409107
0.517143	0.0308839
0.525714	0.0208571
0.534286	0.0108304
0.541429	0.000808036
0.55	-0.0104687
0.558571	-0.0204955
0.567143	-0.0305223
0.575714	-0.0405491
0.584286	-0.0505759
0.592857	-0.0606027
0.601429	-0.0706295
0.608571	-0.0806518
0.617143	-0.0906786
0.625714	-0.100705
0.634286	-0.111982
0.642857	-0.122009
0.65	-0.132031
0.658571	-0.142058
0.665714	-0.15333
0.674286	-0.163357
0.681429	-0.173379
0.69	-0.184656
0.697143	-0.194679
0.704286	-0.205951
0.711429	-0.215973
0.718571	-0.227246
0.725714	-0.238518
0.732857	-0.24979
0.738571	-0.261058
0.745714	-0.27233
0.751429	-0.283598
0.758571	-0.293621
0.764286	-0.304888
0.771429	-0.316161
0.777143	-0.327429
0.782857	-0.339946
0.788571	-0.351214
0.794286	-0.362482
0.8	-0.37375
0.808571	-0.388777
0.817143	-0.403804
0.824286	-0.413826
0.831429	-0.425098
0.84	-0.435125
0.848571	-0.445152
0.86	-0.450187
0.87	-0.450219
0.878571	-0.442746
0.887143	-0.432772
0.892857	-0.42154
0.898571	-0.410308
0.902857	-0.399071
0.907143	-0.386585
0.911429	-0.374098
0.915714	-0.362862
0.918571	-0.350371
0.921429	-0.337879
0.924286	-0.326638
0.928571	-0.314152
0.931429	-0.301661
0.934286	-0.28917
0.937143	-0.277929
0.94	-0.265437
0.942857	-0.251696
0.945714	-0.239205
0.948571	-0.222964
0.952857	-0.207978
0.957143	-0.191741
0.958571	-0.175496
0.961429	-0.159254
0.965714	-0.143018
0.968571	-0.126777
0.974286	-0.108045
0.977143	-0.0955536
0.98	-0.0830625
0.982857	-0.0718214
0.985714	-0.0593304
0.99	-0.0443437
0.992857	-0.0318527
0.997143	-0.0206161
1	-0.010625
